,0,0,0,0,0,0,
0.25,0.25002,0.25,0.255576,941,-0.00002,-0.00002,-0.005576
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.00002
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,-0.011132
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.266688,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.261132,720,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.00002
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,0.005536
0.25,0.266688,0.25,0.244464,0,-0.016688,-0.016688,-0.011132
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.016688
0.25,0.255576,0.25,0.272244,721,-0.005576,-0.005576,-0.016688
0.25,0.255576,0.25,0.255576,442,-0.005576,-0.005576,-0.005576
0.25,0.255576,0.25,0.272244,163,-0.005576,-0.005576,-0.005576
0.25,0.25002,0.25,0.2778,662,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.2778,1000,0.005536,0.005536,-0.00002
0.25,0.255576,0.25,0.266688,0,-0.005576,-0.005576,0.005536
0.25,0.272244,0.25,0.261132,0,-0.022244,-0.022244,-0.005576
0.25,0.261132,0.25,0.255576,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.011132
0.25,0.25002,0.25,0.244464,999,-0.00002,-0.00002,-0.011132
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.00002
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.016688
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.016688
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,-0.016688
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.2778,720,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.261132,1000,0.005536,0.005536,-0.00002
0.25,0.261132,0.25,0.272244,0,-0.011132,-0.011132,0.005536
0.25,0.272244,0.25,0.272244,0,-0.022244,-0.022244,-0.011132
0.25,0.261132,0.25,0.266688,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.25002,720,-0.00002,-0.00002,-0.005576
0.25,0.25002,0.25,0.261132,719,-0.00002,-0.00002,-0.00002
0.25,0.25002,0.25,0.272244,718,-0.00002,-0.00002,-0.00002
0.25,0.244464,0.25,0.266688,1000,0.005536,0.005536,-0.00002
0.25,0.255576,0.25,0.255576,0,-0.005576,-0.005576,0.005536
0.25,0.272244,0.25,0.261132,0,-0.022244,-0.022244,-0.005576
0.25,0.261132,0.25,0.25002,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.272244,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.261132,720,-0.00002,-0.00002,-0.005576
0.25,0.25002,0.25,0.261132,719,-0.00002,-0.00002,-0.00002
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.00002
0.25,0.255576,0.25,0.255576,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.238908,0,-0.016688,-0.016688,-0.005576
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.016688
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.016688
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.255576,720,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.25002,1000,0.005536,0.005536,-0.00002
0.25,0.261132,0.25,0.244464,0,-0.011132,-0.011132,0.005536
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.011132
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.016688
0.25,0.255576,0.25,0.261132,721,-0.005576,-0.005576,-0.016688
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.005576
0.25,0.25002,0.25,0.25002,999,-0.00002,-0.00002,-0.011132
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.00002
0.25,0.272244,0.25,0.266688,0,-0.022244,-0.022244,-0.011132
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.022244
0.25,0.255576,0.25,0.255576,721,-0.005576,-0.005576,-0.016688
0.25,0.266688,0.25,0.25002,0,-0.016688,-0.016688,-0.005576
0.25,0.25002,0.25,0.261132,1000,-0.00002,-0.00002,-0.016688
0.25,0.261132,0.25,0.2778,0,-0.011132,-0.011132,-0.00002
0.25,0.2778,0.25,0.261132,0,-0.0278,-0.0278,-0.011132
0.25,0.266688,0.25,0.272244,165,-0.016688,-0.016688,-0.0278
0.25,0.261132,0.25,0.2778,108,-0.011132,-0.011132,-0.016688
0.25,0.261132,0.25,0.266688,0,-0.011132,-0.011132,-0.011132
0.25,0.25002,0.25,0.266688,999,-0.00002,-0.00002,-0.011132
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.00002
0.25,0.2778,0.25,0.255576,0,-0.0278,-0.0278,-0.011132
0.25,0.266688,0.25,0.25002,165,-0.016688,-0.016688,-0.0278
0.25,0.261132,0.25,0.261132,108,-0.011132,-0.011132,-0.016688
0.25,0.255576,0.25,0.261132,329,-0.005576,-0.005576,-0.011132
0.25,0.255576,0.25,0.261132,50,-0.005576,-0.005576,-0.005576
0.25,0.25002,0.25,0.25002,549,-0.00002,-0.00002,-0.005576
0.25,0.244464,0.25,0.266688,1000,0.005536,0.005536,-0.00002
0.25,0.255576,0.25,0.266688,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.272244,0,-0.016688,-0.016688,-0.005576
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.016688
0.25,0.261132,0.25,0.272244,0,-0.011132,-0.011132,-0.011132
0.25,0.25002,0.25,0.2778,999,-0.00002,-0.00002,-0.011132
0.25,0.261132,0.25,0.272244,0,-0.011132,-0.011132,-0.00002
0.25,0.272244,0.25,0.266688,0,-0.022244,-0.022244,-0.011132
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.022244
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.016688
0.25,0.255576,0.25,0.25002,721,-0.005576,-0.005576,-0.016688
0.25,0.255576,0.25,0.25002,442,-0.005576,-0.005576,-0.005576
0.25,0.25002,0.25,0.244464,941,-0.00002,-0.00002,-0.005576
0.25,0.255576,0.25,0.255576,162,-0.005576,-0.005576,-0.00002
0.25,0.261132,0.25,0.266688,0,-0.011132,-0.011132,-0.005576
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.255576,720,-0.00002,-0.00002,-0.005576
0.25,0.25002,0.25,0.25002,719,-0.00002,-0.00002,-0.00002
0.25,0.25002,0.25,0.25002,718,-0.00002,-0.00002,-0.00002
0.25,0.25002,0.25,0.244464,717,-0.00002,-0.00002,-0.00002
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.00002
0.25,0.255576,0.25,0.266688,0,-0.005576,-0.005576,0.005536
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.005576
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.016688
0.25,0.255576,0.25,0.25002,221,-0.005576,-0.005576,-0.011132
0.25,0.255576,0.25,0.255576,0,-0.005576,-0.005576,-0.005576
0.25,0.244464,0.25,0.272244,1000,0.005536,0.005536,-0.005576
0.25,0.255576,0.25,0.266688,0,-0.005576,-0.005576,0.005536
0.25,0.272244,0.25,0.261132,0,-0.022244,-0.022244,-0.005576
0.25,0.261132,0.25,0.25002,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.266688,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.266688,221,-0.005576,-0.005576,-0.011132
0.25,0.244464,0.25,0.272244,1000,0.005536,0.005536,-0.005576
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,0.005536
0.25,0.272244,0.25,0.272244,0,-0.022244,-0.022244,-0.011132
0.25,0.266688,0.25,0.2778,0,-0.016688,-0.016688,-0.022244
0.25,0.255576,0.25,0.272244,721,-0.005576,-0.005576,-0.016688
0.25,0.261132,0.25,0.266688,0,-0.011132,-0.011132,-0.005576
0.25,0.25002,0.25,0.266688,999,-0.00002,-0.00002,-0.011132
0.25,0.266688,0.25,0.255576,0,-0.016688,-0.016688,-0.00002
0.25,0.272244,0.25,0.255576,0,-0.022244,-0.022244,-0.016688
0.25,0.266688,0.25,0.244464,0,-0.016688,-0.016688,-0.022244
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.016688
0.25,0.261132,0.25,0.272244,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.261132,221,-0.005576,-0.005576,-0.011132
0.25,0.244464,0.25,0.261132,1000,0.005536,0.005536,-0.005576
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,0.005536
0.25,0.272244,0.25,0.25002,0,-0.022244,-0.022244,-0.011132
0.25,0.261132,0.25,0.244464,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.266688,221,-0.005576,-0.005576,-0.011132
0.25,0.25002,0.25,0.266688,720,-0.00002,-0.00002,-0.005576
0.25,0.25002,0.25,0.255576,719,-0.00002,-0.00002,-0.00002
0.25,0.244464,0.25,0.255576,1000,0.005536,0.005536,-0.00002
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,0.005536
0.25,0.272244,0.25,0.255576,0,-0.022244,-0.022244,-0.011132
0.25,0.266688,0.25,0.266688,0,-0.016688,-0.016688,-0.022244
0.25,0.255576,0.25,0.255576,721,-0.005576,-0.005576,-0.016688
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,-0.005576
0.25,0.25002,0.25,0.266688,999,-0.00002,-0.00002,-0.011132
0.25,0.266688,0.25,0.272244,0,-0.016688,-0.016688,-0.00002
0.25,0.272244,0.25,0.272244,0,-0.022244,-0.022244,-0.016688
0.25,0.266688,0.25,0.261132,0,-0.016688,-0.016688,-0.022244
0.25,0.261132,0.25,0.261132,0,-0.011132,-0.011132,-0.016688
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.011132
0.25,0.25002,0.25,0.244464,999,-0.00002,-0.00002,-0.011132
0.25,0.261132,0.25,0.255576,0,-0.011132,-0.011132,-0.00002
0.25,0.272244,0.25,0.266688,0,-0.022244,-0.022244,-0.011132
0.25,0.261132,0.25,0.261132,443,-0.011132,-0.011132,-0.022244
0.25,0.261132,0.25,0.25002,0,-0.011132,-0.011132,-0.011132
0.25,0.255576,0.25,0.266688,221,-0.005576,-0.005576,-0.011132
